playerID,allStarCount,awardsCount,totalGames,totalHomeRuns,totalHits,totalPitchingStrikeOuts,totalPitchWins,totalFielderPutouts,postHomeRuns,postHits,postPitchingStrikeOuts,postTotalWins,postFielderPutouts,class
wambsbi01,0,0,1494,7,1359,NULL,NULL,3420,0,4,NULL,NULL,21,False
wheatza01,0,11,2410,132,2884,NULL,NULL,4996,0,13,NULL,NULL,29,True
walberu01,0,1,547,4,162,1085,155,113,0,0,15,1,0,False
walkedi02,5,3,1906,105,2064,NULL,NULL,3479,1,10,NULL,NULL,23,False
waltebu01,6,11,716,23,477,1107,198,364,1,2,12,2,0,False
wanerll01,1,4,1993,27,2459,NULL,NULL,4864,0,6,NULL,NULL,8,True
wanerpa01,4,14,2550,113,3152,NULL,NULL,5513,0,5,NULL,NULL,8,True
warnelo01,5,9,459,4,215,1140,192,126,0,1,13,2,3,False
werbebi01,0,2,1296,78,1363,NULL,NULL,1548,0,14,NULL,NULL,12,False
whiteea01,0,2,548,4,264,1350,218,166,0,0,2,1,0,False
wilsoha01,0,8,1348,244,1461,NULL,NULL,2821,0,15,NULL,NULL,33,True
wilsoji01,2,2,1525,32,1358,NULL,NULL,4972,0,16,NULL,NULL,113,False
vandejo01,4,6,384,1,104,1294,119,82,0,0,2,0,0,False
vaughar01,9,14,1817,96,2103,NULL,NULL,3308,0,1,NULL,NULL,NULL,True
walkeha01,2,0,807,10,786,NULL,NULL,1712,0,10,NULL,NULL,23,False
whitebu01,2,0,924,17,883,NULL,NULL,2018,0,5,NULL,NULL,23,False
willite01,19,39,2292,521,2654,1,0,4158,0,5,NULL,NULL,15,True
virdobi01,0,2,1583,91,1596,NULL,NULL,3777,0,7,NULL,NULL,18,False
wertzvi01,4,3,1862,266,1692,NULL,NULL,6807,1,8,NULL,NULL,33,False
westrwe01,2,0,920,96,503,NULL,NULL,3639,0,7,NULL,NULL,52,False
wilheho01,7,0,1070,1,38,1610,143,114,0,0,3,0,0,True
willibi01,6,7,2488,426,2711,NULL,NULL,4367,0,0,NULL,NULL,NULL,True
willidi02,0,0,1023,70,768,NULL,NULL,2188,0,1,NULL,NULL,NULL,True
willsma01,7,9,1942,20,2134,NULL,NULL,2786,0,19,NULL,NULL,40,False
unserde01,0,0,1799,87,1344,NULL,NULL,3643,0,5,NULL,NULL,3,False
vealebo01,2,0,399,0,72,1703,120,37,0,0,0,0,0,False
watsobo01,2,0,1832,184,1826,NULL,NULL,9848,2,23,NULL,NULL,133,False
whitero01,2,0,1881,160,1803,NULL,NULL,3443,2,22,NULL,NULL,51,False
wiseri01,2,0,511,15,130,1647,188,206,0,0,4,2,2,False
valenfe01,6,9,474,10,187,2074,173,202,0,1,44,5,2,False
vuckope01,0,1,286,0,33,882,93,87,0,0,16,1,0,False
wallati01,5,7,2212,260,2085,0,0,2543,0,2,NULL,NULL,7,False
washicl01,2,0,1912,164,1884,NULL,NULL,3198,0,13,NULL,NULL,18,False
wathajo01,0,0,860,21,656,NULL,NULL,3388,0,5,NULL,NULL,51,False
welchbo01,2,3,520,2,88,1969,211,243,0,0,41,3,4,False
whitalo01,5,10,2390,244,2369,NULL,NULL,4771,1,10,NULL,NULL,32,False
whitefr01,5,11,2324,160,2006,NULL,NULL,4944,2,32,NULL,NULL,83,False
wilsowi02,2,3,2154,41,2207,NULL,NULL,5060,1,40,NULL,NULL,86,False
winfida01,12,20,2973,465,3110,NULL,NULL,5012,2,21,NULL,NULL,36,True
vanslan01,3,10,1658,164,1562,NULL,NULL,3923,1,19,NULL,NULL,66,False
whitede03,3,7,1941,208,1934,NULL,NULL,4739,3,56,NULL,NULL,124,False
youngcy01,0,3,916,18,623,2803,511,251,0,2,26,2,0,True
zimmech01,0,0,1280,26,1225,NULL,NULL,5121,0,6,NULL,NULL,NULL,False
woodjo02,0,3,702,23,553,989,117,911,0,4,21,3,8,False
wittwh01,0,0,1139,18,1195,NULL,NULL,2256,0,10,NULL,NULL,25,False
yerkest02,0,0,713,6,676,NULL,NULL,1353,0,8,NULL,NULL,14,False
youngro01,0,5,1211,42,1491,NULL,NULL,2171,1,26,NULL,NULL,29,True
wrighgl01,0,3,1119,94,1219,NULL,NULL,2240,1,7,NULL,NULL,17,False
wyattwh01,4,5,366,7,133,872,106,74,0,1,14,1,1,False
zachato01,0,0,546,6,254,720,186,83,0,0,10,3,1,False
wynnea01,9,4,796,17,365,2334,300,193,0,2,15,1,2,True
yorkru01,7,5,1603,277,1621,NULL,NULL,12308,3,17,NULL,NULL,187,False
zimmedo01,2,0,1095,91,773,NULL,NULL,1641,0,2,NULL,NULL,4,False
wynnji01,3,2,1920,291,1665,NULL,NULL,3937,1,5,NULL,NULL,16,False
yastrca01,18,16,3308,452,3419,NULL,NULL,10437,4,24,NULL,NULL,58,True
yeagest01,0,1,1269,102,816,NULL,NULL,6110,5,27,NULL,NULL,183,False
ziskri01,2,2,1453,207,1477,NULL,NULL,1680,0,8,NULL,NULL,11,False
wittmi01,2,0,341,0,0,1373,117,147,0,0,11,1,2,False
yountro01,3,12,2856,251,3142,NULL,NULL,5855,1,22,NULL,NULL,38,True
zachrpa01,1,1,293,0,36,669,69,60,0,0,11,2,2,False
zahnge01,0,1,304,0,6,705,111,87,0,0,2,0,0,False
worreto01,3,3,617,0,2,628,50,30,0,0,19,1,0,False
francju02,0,0,404,48,235,NULL,NULL,761,0,0,NULL,NULL,NULL,False
hafnetr01,0,0,1183,213,1107,NULL,NULL,578,2,8,NULL,NULL,NULL,False
martied01,7,10,2055,309,2247,NULL,NULL,566,8,34,NULL,NULL,NULL,True
nevinph01,1,0,1217,208,1131,NULL,NULL,3708,0,0,NULL,NULL,NULL,False
plesada01,3,0,1064,0,1,1041,65,9,0,0,0,0,0,False
reynosh01,1,0,306,5,77,1403,114,121,0,1,16,1,1,False
rhodear01,1,0,903,0,1,1152,87,38,0,0,23,0,1,False
pennybr01,2,0,351,3,83,1273,121,132,0,2,15,3,2,False
